	Tweet	Valence score
0	quite saddened no us dates no joyous anticipation attending dg concert since happy keeping busy	0.14
1	days gopackgo days gogipego excited	0.792
2	positive psychology research shows salespeople score top optimism gt sales top pessimism	0.27399999999999997
3	birds chirp cows moo need listen sound nature ensure well	0.48
4	howling laughter “well done bezza bakeoff gbbo	0.94
5	afternoon delight	0.539
6	defo hearty root veg gratin nice comfort food autumn kicks	0.48
7	remember reflect reginald denny night much like like charlotte think gun lobby must rejoicing	0.42200000000000004
8	spirit optimism	0.396
9	also	0.34
10	thank notification came nick time cheer tweet	0.708
11	going away want see hurt changing hearts minds really option no optimism	0.33299999999999996
12	havent learned swim keep working denser less buoyant swimming scary also cant swim	0.154
13	evening forget robinhoodhour tonight bizitalk bizhour southyorkshire mansfieldhour chirp sheffieldhour nottshour	0.442
14	close end revision taking story love new direction exhilarating endlesspossibilities amwriting	0.6
15	mirana told shut singing along glee	0.26
16	happiness recipe open mind laughter kind heart amp	0.667
17	🔥💁🏼 lit class great person good cheer	0.8959999999999999
18	watch amazing live ly broadcast musically	0.521
19	ah got work much rejoicing lol thanks get taht	0.812
20	function regard camshaft exhilaration companies cqhshjsi	0.34
21	kirby black panther cool animated panel	0.375
22	popped half bottle sparkling gamaynoir westbank evenin folks bcwinechat	0.62
23	cheery 😘😉	0.76
24	actually maybe supposed die donation saved lives	0.24
25	wanna get dance everyone bed sucks everyone wake hyper letsdance dirtydancinginthemoonlight👌	0.708
26	looks like book shaped like gun itsagunalright	0.20800000000000002
27	hearty italian man	0.56
28	little sniffle end song gets every time	0.3
29	not comforting amp jubilant place find joy best passionate abt company keep	0.52
30	watched great wall hilarious	0.8
31	❤️you dwts make night every show hilarious	0.9229999999999999
32	watch amazing live ly broadcast musically	0.578
33	love family much lucky grateful smartassfamily love	0.9359999999999999
34	there’s not metaphor world get hilarity jpod pronouncing humor	0.583
35	good question really know slowly losing optimism	0.057999999999999996
36	whatever decide make sure makes happy	0.583
37	inquiries alleged abuses uk troops afghanistan iraq data suggesting buoyant post brexit economy makes front pages	0.16
38	may day filled peace love laughter nice day full success jummah mubarak😇 good morning☕	0.792
39	pinterest one dessert next thing know pinning make different visually pleasing mouth watering never gonna make sweets	0.34
40	love insta hilarious	0.769
