	Tweet	Valence score
0	quite saddened no us dates no joyous anticipation attending dg concert since happy keeping busy	0
1	days gopackgo days gogipego excited	3
2	positive psychology research shows salespeople score top optimism gt sales top pessimism	0
3	birds chirp cows moo need listen sound nature ensure well	1
4	howling laughter “well done bezza bakeoff gbbo	3
5	afternoon delight	2
6	defo hearty root veg gratin nice comfort food autumn kicks	1
7	remember reflect reginald denny night much like like charlotte think gun lobby must rejoicing	1
8	spirit optimism	0
9	also	0
10	thank notification came nick time cheer tweet	3
11	going away want see hurt changing hearts minds really option no optimism	0
12	havent learned swim keep working denser less buoyant swimming scary also cant swim	0
13	evening forget robinhoodhour tonight bizitalk bizhour southyorkshire mansfieldhour chirp sheffieldhour nottshour	1
14	close end revision taking story love new direction exhilarating endlesspossibilities amwriting	2
15	mirana told shut singing along glee	0
16	happiness recipe open mind laughter kind heart amp	2
17	🔥💁🏼 lit class great person good cheer	3
18	watch amazing live ly broadcast musically	1
19	ah got work much rejoicing lol thanks get taht	3
20	function regard camshaft exhilaration companies cqhshjsi	0
21	kirby black panther cool animated panel	0
22	popped half bottle sparkling gamaynoir westbank evenin folks bcwinechat	2
23	cheery 😘😉	3
24	actually maybe supposed die donation saved lives	0
25	wanna get dance everyone bed sucks everyone wake hyper letsdance dirtydancinginthemoonlight👌	3
26	looks like book shaped like gun itsagunalright	0
27	hearty italian man	2
28	little sniffle end song gets every time	0
29	not comforting amp jubilant place find joy best passionate abt company keep	1
30	watched great wall hilarious	3
31	❤️you dwts make night every show hilarious	3
32	watch amazing live ly broadcast musically	2
33	love family much lucky grateful smartassfamily love	3
34	there’s not metaphor world get hilarity jpod pronouncing humor	2
35	good question really know slowly losing optimism	0
36	whatever decide make sure makes happy	2
37	inquiries alleged abuses uk troops afghanistan iraq data suggesting buoyant post brexit economy makes front pages	0
38	may day filled peace love laughter nice day full success jummah mubarak😇 good morning☕	3
39	pinterest one dessert next thing know pinning make different visually pleasing mouth watering never gonna make sweets	0
40	love insta hilarious	3
41	retweeted gunnysmith ndays like today happy alive blessed rejoice	3
42	pakis applauding sharif speech wonder many really understood said nthey much excited happy	1
43	memphis looking bright rojo looking like rojo	1
44	beaming glee	3
45	something makes excited terrified thrilled nervous elated amp like kicked guts need word	1
46	crossfit houston la homefolks spry proprieties regimes ajafue	0
47	random guesses potential amelie kenneth rock ya instead tv amp maybe optimism lara jean	0
48	aw young fox outside grass jumping around playful little stretch soo cute	3
49	gives gleeful squeak wraps around mine	3
50	happiness choice life pleasing everybody aldubndweeksary	1
51	want smoky clouds laughter swim forever	2
52	better wetter dry thanks tip val first gbbo hearty guffaw week	2
53	breezy today go back school night bare legs like day	0
54	reason horror popular exhilaration comes discomfort enjoyable watch green room	1
55	life izn pleasing others hell pleasing	0
56	taurus females beautiful sparkling jewels glowing moonlight	2
57	no doubt smiling best medicine 😊😊😊	3
58	new breezy amp tiller 🔥🔥🔥🔥🔥	1
59	one apples attempt make muslims happy	0
60	envy relentless cheerful smile aimed pouring rain positive attitude art continually mastered	1
61	fear united bottle heart would actually collapse laughter	3
62	early morning cheerfulness extremely obnoxious aldubndweeksary	0
63	give cheerfully accept gratefully everyone blessed »maya angelou	3
64	wrong needed levity recording	0
65	would like know source president optimism running country wonder answer curiosity	0
66	watching ny phil webcast something missing reminds blithe journey end saw bway might gershwin	0
67	lack company liveliness makes bored	0
68	got back seeing burslem amazing face still hurts laughing much hilarious	3
69	people call pov kx make night hilarious	3
70	rojo hilarious	2
71	icon pochama nhe cute easily elated	2
72	well draw lively eflcup	1
73	followback quotesoup happy not everything good see good side everything optimism	1
74	goddamn celebrity draft end classic hilarious	2
75	aww thank definitely feeling much better today messages cheer ☺️	3
76	drunken patroons make whole situation much jovial though	2
77	shanghais chief distracting levity pampa proper dingle carry away uudqujcia	0
78	idc predicts term cloud no longer used nit managers administrators everywhere rejoice	0
79	yall dont feel bad rejoicing itnis always coltsnation even th string dbs playing 😔😔	0
80	feels good get outside minute get fresh air hard stay cooped inside day breezy	3
81	best part day jesus snuggle embrace rest arms know love 💙❤ sweetembrace delight	3
82	blast playing games hearing testimonies pastor jeremy house fellowship food laughter praise gospel coffey	3
83	still find pleasing	1
84	breezy	0
85	getting cable hooked new place time premiers like god smiling onechicago	2
86	know scripted ego maniac elated hear devout christian like phenomanal	2
87	may send copy herothegreyhound either book real paper one boy greyhound smiles tears	0
88	love honesty best policy	0
89	ok seems still hope bsnl nnow bb speed ok nbut thank elate much lest gone like 😐🙂	0
90	tweet tweet chirp chirp losers	0
91	watch amazing live ly broadcast musically	1
92	cheerfulness good temper spent remains ralph waldo emerson	1
93	watch amazing live ly broadcast musically	1
94	felt like control giving much selflessly pleasing groans	0
95	brennan cook breezy get back together😍😍😍	2
96	oii oiii nthank always making smile birthday days mind following gift	3
97	whu old bill free time game chelsea comes around nthat lively say least afc	3
98	caught wonderful new series ealingcomedies infectious delight every interview film clip	2
99	siguemeytesigo happy snapchat manuellynch venezuela	2
100	least walk past break laughter	1
101	dehydrated exhausted stressed still blessed optimism	0
102	started watching glee week addicted glee gleek	2
103	injecting little levity person tweeted coke rape tweet obviously idiot	0
104	love singing time weekly choir come kwoir tomorrow choir musiclondon	1
105	incetown age joyful elevated hope	1
106	geo capable cheering up❤️❤️❤️	2
107	read fun lighthearted cheerful right double cavity	2
108	kinda girl pleasing dick right😍😏	2
109	rojo bad hilarious	2
110	val far cheery liking ✋🏻	0
111	may man live well long enough leave many joyful widows behind	2
112	love love love fun relaxationiskey	3
113	watch amazing live ly broadcast musically	2
114	harwood gleeful new numbers bet money reporting look lose liarthiefscoundrel	0
115	much delight	3
116	something cool breezy fall days 😍🍂🌾🍁	3
117	thinking trying comedy youtube always fond time nut comedy maybeoneday hopefullyfunny lol	1
118	joyous occasion laughing ostentatious display disrespect bruce scoffed entire scene batman’s	1
119	good morning trondheim optimism productivity ⛅️❤️🇳🇴🏢💻🖥🏋🏻💪🏼📺🍿	3
120	no foreign policy goofy secretary state john kerry devil may care pose jaunty blue scarf	0
121	angel delight everything	2
122	metal keeps young spry keeps hair luxurious nyes nshut listen	1
123	watching avatar wondering took long watch collapses joyous heap	2
124	hilarity people not realising racism racism regardless whether one uses choice words hilarious	0
125	try find good negative negative turn good anxietyrelief openminded	0
126	promise restoration nation israel everywhere look blessing barns wine overflow everything beautiful dousee	2
127	gbbo cheer ☺️	1
128	repentance trusting christ lowly painful also joyous peaceful absolutely glorious	1
129	lol hilarious	3
130	wait see hun cuddles gossip laughter	3
131	shabazz name phone easy breezy beautiful amp not apologize	0
132	blackish always rollin	2
133	oh almost odd cheerfulness big boss offers muzzle flash blinding accidental guy became best friend	0
134	msm rejoicing fooled us body doubles long amp death secret like hawkings	0
135	headed montalvo —bring mirth bitches nd summeroftour	1
136	heres get brock sable tag team mr mrs awol watch glee	1
137	refuse chirp chirp girl	0
138	uncle buck tho unclebuck	1
139	something satisfying opening old doc file able check things done	2
140	listening oblivion score drinking coffee researching new sci fi animated project	0
141	rejoice everything time moron taken genetics pool	1
142	however rei offer job today well believe exponentially freaking joyous feel	3
143	sharpened pencil today sharpened since ✏️	1
144	athenian mirth order day ought honoured gives mirth greatest number laws	0
145	see reason optimism point stringing together bad performances	0
146	watch amazing live ly broadcast musically	1
147	starting minutes week straight paradigm shift level mirth	1
148	world needs laughter love little drake	1
149	ilofitt laughter happiness spiritual mental physical pizza kidding pizza work hard facets fitlife	3
150	literally cracks see posts years ago later	3
151	hahahahahaha oh gosh hilarious black man trying keep racism alive get man	1
152	always cheerful smile often make others happy care others help feel helpless vulnerable life feels good leadership	3
153	contentwiththelordsportion satisfy us early thy mercy may rejoice amp glad days ps gladness joy	3
154	due big change prayed think deserve positivity	2
155	efficient great smiling service store impressive team geniuses ready redefine customer service	3
156	always hurting somewhere always tired lively	0
157	incredible nawaz sharif said pakistan victim terrorism amp talked abt development pak incredible controlled laughter	0
158	keep smiling	2
159	not depict feel right feel jubilant yet anxious dunno seems like something worth wait everyday	1
160	love new show	3
161	could add jaunty bow bells	1
162	categ gen amp obc cost nill not reservation support sir minimize fees bright fut	0
163	watch amazing live ly broadcast lively musically	1
164	literally dying amp living time catch twitter following life basic	0
165	irony hilarity making taylor lautner super cold time not lost god missed show screamqueens	3
166	girl love perfume something bout	3
167	look forward detours bring delightful surprises lifequote delight	2
168	whole time watching lost glasses hilarious	3
169	sioux valley wins home competitive cheer invite score dell rapids second	2
170	onesimplechange drink sparkling water instead soft drinks steer clear fructose still getting refreshing carbonation kick	0
171	get subway melt make sure hearty italian bread black olives must though	0
172	still laughing bitch took pillow line kurt	2
173	accept challenges feel exhilaration victory	2
174	bunk ur class📚 least life time cuz later look back good marks not make happy memories😊 apj	2
175	annoyed good loving fans onision including really annoyed people cheerful	0
176	finally braces stop smiling 😊😊😊😊😊	3
177	really hate mel sue think hilarious awful	0
178	time go hit library lovely pile book reservations collect morning books reading	1
179	pochettino buoyant complimentary young players says attention turns middlesbrough thfc	0
180	breezy deserve	1
181	worse expected hilarious no one even remember	1
182	girlfriends cooking dinner spag blow not sure need help 😂😂 girlfriends	3
183	drop cheery	0
184	exhilarating	2
185	smile mean thousand words also hide thousand problems fact teamfollowback	0
186	race advances extra achievements individual individual charles towne optimism inspire	0
187	zeth voice hit target holds upside cheering towel	1
188	thinking trying comedy youtube always fond time nut laughter comedy maybeoneday hopefullyfunny lol	2
189	every time hear organ kick new break goofiest smile	3
190	anyone know mariners today mood seems strangely jubilant meatloaf says bad unless win one	1
191	well exhilarating know could goosebumps hrs straight	2
192	yeah bro eas hella exhilarating	2
193	love honesty best policy smile	1
194	night sparkling let go ni wonder struck nblushing way home	3
195	god facebook design started remind myspace heyday	0
196	one time saw rachel glee tell someone job pole said th grade boy look confused	0
197	blake lively flawless	0
198	connie came back hey seem bit lively	1
199	amp must rejoicing ovet charlotte protests northcarolina	0
200	understand not pleasing ear want tired	0
201	unixware skydrive cokie hearty exactment blame online hephxho	0
202	smiling stress	0
203	ari looks hilarious oh much	3
204	rejoicing finally match draw revealed facing city next life sef	1
205	terribledebatequestions given many laughs afternoon thanks twitter hilarious cleverpeople	3
206	gave rugby bet roosters nrl	0
207	ukedchat go outside gym hall play education playful learning	1
208	without cake seeing wee cheery face always joy xx	3
209	think yawning actor died drug overdose	0
210	bet dat dog eating name brand cheerios cant relate eat cheery	0
211	whole time watching lost glasses hilarious	3
212	happy live nyc see tomorrow	3
213	take strange delight seeing mark hughes struggle	0
214	vacation wise egypt offers great places amazing scenery bright skies good weather good affordable price students	1
215	riggs dumb ass hell lolol hilarious lethalweapon	3
216	lunatic asylum place optimism flourishes	1
217	least willing discuss better keep insults light occasional levity creative bs ing	0
218	heavy days given much needed levity thanks bro	1
219	fun funniest person funsville much hilarity usual thank ❤️	3
220	tumblr became sentient tumblr posted gn animated gif tumblr shipped	0
221	bits cooked actual tasted no ok cooked raw bits tasted awful hilarity taste safe ingest	0
222	life yells surprise surpriiise chirps cheerfully wicked grin lips	2
223	hi luke hemmings n💐🌸💐 nif flower every time made smile garden please follow n💐🌸💐 ni love	3
224	need cheer	0
225	good morning love happy first day fall let make awesome autumnmemories annabailey	3
226	happppy happppyyyyyy happppppyyyyy haaapppyyyy birthday best friend love lots 💖💖💖💖💖💖💖🎉🎊 chapter bdaygirl love	3
227	spirit	0
228	panda eyed jaunty watching jaws late	1
