	Tweet	Valence score
0	yeah playing well	0
1	least guy trying discourage anymore want never become anything worth contributing society	0
2	uplift still discouraged means listening wrong voices amp looking wrong source look lord	0
3	age heyday blood tame shakespeareaninsults hamlet elizabethan williamshakespeare	0
4	embarrassed saw us like knvfkkjg thinks stalkers starts waving cheerfully inviting us	-2
5	really planned making videos week tv died phone broke truck died depression took wondering karma	-3
6	hate ideas afraid share	-3
7	regular cheerfulness emotion supper give ladies soon entirely	1
8	pessimist sees difficulty every opportunity optimist sees opportunity every difficulty sir winston churchill	1
9	hurting ndoesn mean hurt ndoesn mean get nwhat deserved nno better no worse lost	-2
10	cancelled cbs access live feeds jc even said vic afp paul imo bitter	-2
11	beautiful day	1
12	better second half team season	0
13	back forest drama nfrom forest music series nature dark art photography finland	0
14	much sadness heartbreak	-3
15	learned years one mind made diminishes fear –rosa parks quotes motivation	0
16	walk right see way past even hesitate running	0
17	looks cool animated well pixel art	2
18	social sharing dark amp web traffic comes darksocial liftsocial	1
19	communitysleepcoach look narcoleptic puppies make smile human amp find odd positions seek th…	2
20	future planned feel much happier goals life igotthis yay	3
21	hate going doctor many levels least go sleep smile watched dwight live nation	1
22	happy birthday lost lost dharmainitiative years september oceanic	0
23	people weak follow dreams always find way discourage	-2
24	sadly beautiful photo	-2
25	peanut butter kinda pervert	-2
26	baskets better bad mood someone irritate practice please	-2
27	remember life blessing god make joyful experience regardless odds gby	1
28	fucked coupon goal	-1
29	always depressing sort wordpress plugin recommendations not best least offensive terms premium features	-3
30	it’s gleeful they’re inspired convinced they’re winning last strongman	0
31	catering channel height technics hearty enjoyment symptomatize vrlfeyrn	1
32	best revenge get good woman move leave hairline figure alone	0
33	forth character no not gleeful enough	-1
34	view human dynamic expression cosmos exist within humanism awe	0
35	yesyesyes like jd closest cahracter similar blaine optimism ability crack tough characters	1
36	yeah figured ornaments way wanted spektar desolate gear well thought right	0
37	hey nascar fans going race loudon weekend not stop new day diner great hearty breakfast go	1
38	love new show	1
39	oh almost odd cheerfulness big boss offers muzzle flash blinding accidental guy became best friend	0
40	easy breezy beautiful	2
41	countryside day pleasing	3
42	asshole made sexually attacked animated bear	-2
43	pretty awful look historically	-2
44	sparkling looks like gay vampire	1
45	aquila ajahnae euriechsa common besides ridiculously stupid horrible ugly god awful names tracey not father	-2
46	aww thank definitely feeling much better today messages cheer ☺️	2
47	shawty lo beef one underrated ones hip hop history chock full wit bravado hilarity	1
48	well sparkling	1
49	ball watching amp rojo header equally dreadful	-2
50	every minute angry lose sixty seconds happiness ralph waldo emerson quote	1
51	charlotteprotest wait facts video hate ask questions later protest policeshootings suggestions	0
52	please bear not twitter savvy😝 real life facebook person help gain followers blog selfhelp	0
53	go	-2
54	found marmite australia happy	3
55	misery loves company church ought place finds none pastor kris theobald joy rejoice	1
56	blow mind much blew mine sexually harass someone whoa mindblown huh setback fright madashell	2
57	bad temperament hissyfits	-2
58	looking like heyday	0
59	going away want see hurt changing hearts minds really option no	-2
60	laundry watching show bunch strangers birthday	0
61	breezy breezy breezy breezy buzzinn	1
62	never make decision angry gt lt never make promis happy	0
63	made cry shake point parents calm give calming tablets	-3
64	delight lane tonight witness debuts young talent could backbone club coys	3
65	never find exact emoji exact moment need panic	-2
66	ah got work much rejoicing lol thanks get taht	3
67	wakes says tried changing nappy 😡👊🏼	-2
68	praying lord keep anger hate jealousy away heart sign maturity conciseness	-1
69	never let see frown	-1
70	ux online appalling no clear save button not able use generic tld unhappy	-3
71	hearty italian man	0
72	not word terrorism	0
73	no foreign policy goofy secretary state john kerry devil may care pose jaunty blue scarf	0
74	long day thank goodness bake brighten weary wednesday gbbo	0
75	wake dream laughing something stupid makes laugh hilarious	3
76	hope instinct reasoning human mind could kill animal never knew despair	-1
77	king insult intelligence black community people thinking	-3
78	first time watching vids died laughter keep dude	3
79	okay trans rejoice trans trans way way not business care	0
80	omg actually thought going jump southpark southpark	-2
81	glad see fun sun water sports always fun challenging exhilarating happiness beauty	3
82	whole vanre extradition might turn pandora box jt no idea murky corrupt guanxi china toad vs dada	-2
83	body sleepy mind active sad get ready work minutes damn restless	-3
84	lord god midst—a warrior bringing victory create calm love rejoice singing	1
85	personaldevelopment ntoday gift called present happiness optimism entrepreneur personaldevelopment	3
86	nice idea collect relevant socialmedia one dont automatic pls worldsapp ⬅️ chirp appsworld socialmedia merci🎈	0
87	never find exact emoji exact moment need nuclear missiles indianarmy	-2
