	Tweet	Valence score
0	depressing shit ever	0.861
1	final vestiges childhood dashed shoals hearing house cover tracy chapman fast car dayjob	0.41700000000000004
2	dreadful first half not mention rashford would got end couple balls pace	0.5
3	feel really sad today😒	0.833
4	wow watched seriously one depressing movies life	0.667
5	way cool die young way young die sober tunechi	0.604
6	happy birthday roy buchanan born day roybuchanan guitar blues happybrithday	0.188
7	ibiza blues hitting hard already wow	0.833
8	awareness time awareness time lost awareness time	0.41700000000000004
9	no episode today whilst editing power outage rebuild tomorrow podcast lost editing fail tomorrow	0.396
10	great programme tonight upsetting extremeworld	0.375
11	days know heart beats depression	0.8540000000000001
12	bare videos online anyone get rehabilitated anyone actually get help affliction jut get twitter videos	0.479
13	tell camp happy purely bojan muni nboth normally fab guys yet completely dejected something right	0.623
14	bill clinton not grow weary good cgi	0.275
15	dull uk	0.43799999999999994
16	sober life	0.312
17	watched favorite youtubers months honestly made depression much worse	0.667
18	depress	0.708
19	sadness leaves broken bed hold depths despair name love	0.604
20	john magic box lost	0.22899999999999998
21	impress depress	0.271
22	safe blues ok reds ok well obviously battleground states would not	0.263
23	grim	0.75
24	good hearts lost job responsible families information profile even dollar can’t tweet	0.75
25	cheap pout brodcast	0.43799999999999994
26	wanna see smile wanna see make frown	0.33299999999999996
27	liam distant makes mourn	0.6459999999999999
28	airport depressing watching loved couples cute people coming holiday cute hurry november ✈️	0.625
29	trump presidency dark age usa world would definitely take us war short amp long term pain	0.604
30	endtrumpweek please depressing	0.667
31	srv voodoo child approximately times better jimi guitar music blues	0.292
32	bls depress blake	0.585
33	honestly upset rewarded nicole depressing paulwasrobbed rewardhardwork bitterjury bb	0.667
34	little bit extra money would blow whole paycheck go one two concerts la serious	0.16699999999999998
35	even celebrate wins mourn cause first test week busy	0.75
36	let know blues	0.521
37	mmm coffee good book dreary day beat	0.25
38	nah asked really insightful teacherly questions could write kickass report sadly never know	0.521
39	romero fucking dreadful like seriously month old better	0.583
40	“my friend fly away world abhors awaits somber morrow no matter winds may blow”	0.544
41	usa panicattacks anxiety depression much medication	0.708
42	🍂🎵☀ fall sounds great ndream blues rock nget top album one love hero	0.10400000000000001
43	im kind confused one thing right great future hand new thing lost needhelp	0.604
44	could crooked stuck delusional dim amp dark hearted dud surprised losing amp prob also ppl let crimes drop nwo imo	0.541
45	somehow sausage pasta made sunk bottom eating sausage tiny bit leftover pasta	0.33299999999999996
46	sadly war often factor jump starts us economic growth	0.479
47	thanks sober drivers real winners night clemvsgt	0.188
48	interesting topic evening sadness amp low mood mhchat	0.708
49	understand express emotions others may lead sadness loneliness amp neg impact long term mh mhchat	0.562
50	chronic sadness may mean underlying issues getting sad occassionally particular issue mhchat	0.562
51	thanks sharing surprise guests amp visiting us tenor sax livemusic capetown blues	0.267
52	inclined think documentary harm good not despair people critical faculties	0.562
53	know love sober sober selenagomez revival	0.45799999999999996
54	one step forward two steps backward link rogerfederershop doesn´t work losing hope roger federer new website sadness	0.583
55	fun tidbit fall asleep someone dancing blues latenight	0.083
56	ricefodays alex butler class financial management starts great relevant class discussion movies sunk costs	0.22899999999999998
57	cant stop finished dejected luckily no one bathroom go stall wait pants dry	0.625
58	think swallows swifts gone photo nights ago not seen since autumn	0.354
59	pine rider	0.295
60	please bear not twitter savvy😝 real life facebook person help gain followers blog selfhelp	0.146
61	linc sink	0.20800000000000002
62	honestly know unhappy time want stop itnevergoes	0.9490000000000001
63	noo poor blue bell not sad	0.792
64	contention hosting nation camden empty sad	0.6579999999999999
65	not made world empath unhappy	0.75
66	im kind confused one thing right great future hand new thing needhelp	0.521
67	health insurance cover tms let know cover ect mentalhealth psychology tms ect	0.521
68	paddy mcnair joint top scorer yeah justlet sink haha	0.20800000000000002
69	wobble carry sink	0.396
70	sad evening clearing harvey cage belongings final goodbye little man depressing	0.8540000000000001
71	“the immense importance football sometimes scary don’t win responsible many unhappy people arsene wenger	0.396
72	right may sufc fan football maybe shit marcos rojo mufc shocking start dreadful	0.583
73	yeah agree think family member covered	0.408
74	heart actually sunk lool confused	0.625
75	depressing seeing whole fam packing go holiday tomorrow staying	0.688
76	find patronus website work even see questions sadness	0.7290000000000001
77	hey man asian nah man im hispan nah high hell random crackhead wal mart parking lot cmon sober	0.23800000000000002
78	got teampaella presents way fi think arrive saturday sadly	0.583
79	ears soul goodmusic melancholy	0.23600000000000002
80	yep amp stayed pjs day lol	0.312
81	guess must really expensive whole family stayed poland really miss	0.542
82	ever stayed hostels overseas frame reference movie hostel know went	0.22899999999999998
83	write drunk edit sober nforget save wake hungover amwriting sober	0.312
84	exact minus beer sadly	0.604
85	tears inappropriate day holy lord not grieve joy lord strength nehemiah niv joy	0.311
86	yea lol catchy fret	0.358
87	rooney whipping boy mufc	0.354
88	complained head called not despair god mercy sins go back ask forgiveness	0.467
89	mind dark room ndeveloping madness ♨😘	0.562
90	band members wanted contact newcastlegateshead sunderland musicians musicbusiness musicislife music musically band blues folk	0.299
91	overwhelming sadness shall pass lonley startingover	0.917
92	nhearing noises akame opened eyes sat facing juvia expect see someone around staid	0.266
93	never let sadness past ruin future	0.292
94	used pawn red woman game try not fret act nothing amiss royal	0.354
95	whisper cannot frown	0.271
96	people much negativity filled inside im always happy gloomy world someone like exists namjoon	0.45
97	go away please begging »» depression anxiety worry fear sadness ndreams joy baby found sits andisbench	0.8959999999999999
98	not discouraged slowing sales market test business model pinpoint strengths weaknesses	0.271
99	difference someone selfies happy vs unhappy absolutely amazing	0.20800000000000002
100	living depression mean must defeated nevery day new day yesterday decide today looks like	0.43799999999999994
101	even pencil✏ never stayed end	0.667
102	many yeah thing going cops shooting innocent people sad not backyard sad blm	0.7240000000000001
103	blend waters lie nthere shrines free melancholy waters lie nno rays dull tide vine	0.43799999999999994
104	look unhappy nngh got email notif thank	0.43799999999999994
105	glad tv coverage successful attendance looked pretty dismal	0.43799999999999994
106	ok yes get much next guy bikes blues amp bbq frustrating amp loud ppl traveling come	0.25
107	work no play makes jack dull boy	0.5
108	dirty self loathing attitude mope talking	0.792
109	today visited dreams even though physically gone still mourn	0.7709999999999999
110	trying take lost broken make right	0.542
111	mhchat childhood experiences inform adult relationships associative memories not question ability process sadness	0.625
112	es serious	0.271
113	pay responsible doings sober real blind	0.369
114	going make life mission discourage anyone using rob blind	0.6459999999999999
115	media celebrated king endorsing obama criticize endorsing trump wants new civil rights era sad	0.562
116	blues riding cab home belly much bigger rest body couldnt preggy lose day	0.542
117	tonight fulford arms york ntomorrow bank top tavern oldham nnext saturday big hands manchester livemusic punk blues rockandroll	0.188
118	not grow weary good lasting legacy cgi thankfulmoment	0.34299999999999997
119	not yet sunk yet rest	0.604
120	serious chinks india’s armour protein malnutrition feedingindia skillingindia cognitive deficit	0.354
121	got hacked gaming channel grim evil wood clowns yesterday september september today	0.396
122	rather forlorn scanning witches house resting back elphie grimmerie gone	0.45799999999999996
123	love something let go comes back never sadness accepting	0.7709999999999999
124	need advice get rut needmotivation	0.7290000000000001
125	uplift still discouraged means ur listening wrong voices amp looking wrong source look lord	0.25
126	rather someone could help concern clouded green eyes not seen girl alone woods	0.43799999999999994
127	dude fukc lost spectacles morning	0.45799999999999996
128	kinda wanna book vacation go anyone wanna tag along adventure serious	0.312
129	seeing something hurt much past front not single sign grieve magicall	0.396
130	fucking sad person love try fighting happiness anything	0.7709999999999999
131	new lock sound grim	0.562
132	ni like thinking sadly no shed	0.604
133	candace amp pout getting right tits gbbo	0.41700000000000004
134	even grieve one black body another one pops due pig brutality	0.892
135	try fail try still fail confused lost	0.917
136	noel edmonds reckons cat talking stressed uncertainty gbbo future plot lost	0.521
137	dropped phone sink earlier no sound everythin else works prepared life without music put earphones	0.45799999999999996
138	thief liberal mope investigated financial services board theft govt retirement funds thief	0.667
139	contained depression new economic engine sustainability say joel vergecon newgrandstrategy	0.542
140	awake seriously bad throat 😩😩😷🤒 glands feel huuge uni soon grim	0.708
141	season charlie still prick lost	0.375
142	rather die alone end somebody sober	0.66
143	practically obsessed thought departure makes feel melancholic grateful safe journey	0.375
144	go follow juspopmolly snapchat hoe sitting sink right	0.396
145	teens sons left car get haircuts praying storm make home safely sad terencecrutcher	0.667
146	always borrow money pessimist expect paid back	0.4
147	sadly not smutty	0.583
148	sadly not	0.667
149	help someone depression believe trust therapists	0.604
150	howland cultural center beaconny vickie raabin amp chris raabe blues soul pm	0.25
151	course not sink studs knee like forrester	0.396
152	transparency openness dull sell fans group want verbs like buying defending building securing	0.33299999999999996
153	sat sat room cloved watchin manchester unide norffampton fink still goal fret iced level	0.375
154	seeing old coworker wife mourn loss year old daughter one saddest things ever seen	0.833
155	gloomy weather puts best mood	0.271
156	tis dreary day today nfriend teenager not shakespeare reincarnation nim dumbass lol	0.45799999999999996
157	always little bit weary speaking want hijack convo lgbt person seen	0.43799999999999994
158	baarisshh sad song prefect night feeling alone	0.7290000000000001
159	tones favourite chris pine stans love tones anything mt sweet summer child attack anyone hurts	0.271
160	gotta say put whoever support people decisions not discourage	0.354
