	Tweet	Valence score
0	اليٰ متيٰ الالم يغلب الفرح	0.09699999999999999
1	مافي الامر غاضب اننا نظهر نقدم اساطيرنا بانفسناnغاضب انفسنا الغرب	0.21899999999999997
2	يحذركم ويخوفكم ارتكبتم ذنب معصيه سينزل بكم عقابه كنوز دار الريان النسائيه	0.313
3	صباحكم سعاده المبارك تقبل صيامنا وقيامنا	0.828
4	شفته اسبوع ومتشوقه وايد الصراحه 😍😍 بالتوفيق يارب ❤️	0.7190000000000001
5	مطحونين حر القاهره ونيلها وزحمتها غيرنا بيلهو البحر وبيصنع المجد وبيشمم فخاده هوا	0.371
6	متجر قهوه مجيدnماشاء nالله يزيدك ويبارك رزقكnتستاهل خيرnnمدري ليش اشوفك تتوسع بتجارتك احس بسعاده كبيره	0.8440000000000001
7	تعب حزن ضيق وجع ارهاق مختنق صدمات	0.156
8	صباحي اتم الارتياح الحلم تحول واقع بمشاركه الاماني واحلام بالمنام	0.8590000000000001
9	خالتو عندها ولدين وحامل بتقولي ولد هسميه بنت روفانا nافهمها ازاي الاسمين مش عاجبني 😄😡😡nاقولها ازاي عاوزه مصطفي 😄😍😍	0.5
10	فرحه رمضان 😉nnقولنا هتعمل ايه رمضان 🤔nnالمايك معاك	0.774
11	اخاف تقتل اولادنا التعاسه وضيق الاحتمالات جرعه امل ويعودا للحياه تقلق	0.349
12	اخي يخلص شهر العن خيره بطئ وكله بلاوي	0.375
13	باذن اجمل تفاؤل بالخير	0.828
14	ليش ادفع فلوس عشان اتوتر شوي انقز	0.201
15	المشكله ضميرك مو الاكلn اسفليه	0.406
16	اللهم الحمد رضا سعاده دائمه السعوديه الثالثه السعاده	0.7659999999999999
17	الناس نزلت رواتبها تقريبا nالا رواتب المتقاعدين nبنك الاثمارnعسي ماشر nnوراهم عيد مو ضروري فايده هالشهر nBahrain	0.25
18	كلام الناس اللي متعاطفه بوفون محسسني مخدتش ولابطوله فحياته وهيعتزل بصفر بطولات ياجماعه الراجل واخد كاس عالم شويه تقدير لتاريخه يعني	0.43799999999999994
19	More والله كابه طبيعيه بعدين عطني حل معقول ماطلع معك انتحر	0.391
20	هه الخوف والتوتر يسببه الاهلي	0.21899999999999997
21	شيء اجمل اشراقه هادئ يحبك الخيرفيغدو الصباح الخير والحب والامل والهدوء والنشوه الاشياء الجميله	0.871
22	فرحان عايز اضحك	0.953
23	هاذي الايام متنرفزه🔥 ودي اشوف اللي اكرهه واطقه واطقه واطقه واعضه واقطع شعره وامشخه واشوهه اخخ بس ليته 🔥🙂💔	0.141
24	بينيك امك ياابن المتماكه ياخول مره اشوف متناك فرحان امه واخته بيتناكوا	0.156
25	ميت مابي مشاعر ميت حب بشر ميت قصه قديمه ميت غصه اليمه😣😣	0.21
26	سنه وانت طيب ياا وي ❤❤ وعقبال سنه سلكان وانبساط	0.7659999999999999
27	ده عيد تحرير سيناء بهجه العيد ده والله	0.7659999999999999
28	الصوره بتحلي بتفاضيلها حاجات بس هنعملهاnنلقي الفرحه عايشه معانا مكانnلما القلب يدق يدق يدق يدق❤بهجه👏🎀 nاحمد حلمي دنيا سمير غانم	0.6609999999999999
29	تعالجتي دكتور طيب تري انتي عندك نوبات هلع وقلق واعراض جسديه وعندك شعور بالغربه الذات علاجه بسيط	0.484
30	لاول مره اعيش رهبه خوف حزن واقعي انكسار ينجبر فقدان اعز عندي دموع امي وابوي واخواني يارب الطف بقلب فاقد	0.094
31	دكتور لديه نوبات ذعر ذنب يذهب المسجد	0.43799999999999994
32	وارجع واقول ننسي الكلام ده غيري ونشوف الصوره اشمل واوسع بعيدا ضغط الخوف خصوصا بالخليج يعيش حاله هلع وزعر	0.33899999999999997
