	Tweet	Valence score
0	revolting cocks think sexy	0.292
1	beat always thought id gryffindor whole new world 😨😨😨 excited afraid	0.667
2	“what worries masters haddon robinson jesusisthesubject worry anxiety anxious	0.604
3	first take room wanna beat	0.41200000000000003
4	much trouble think rev see funny side project nervous	0.8959999999999999
5	make bully sit room let look debo day	0.43799999999999994
6	years today marks anniversary horrid westgate attack nairobi heart us lost family amp friends🕯	0.521
7	guys still go	0.312
8	like big bully class ruining everyone lunch instead taking lunch money took away family feud bully	0.6459999999999999
9	favorite horror movie ghosthunters	0.342
10	not sure thats accomplishment something worry	0.479
11	hate shy	0.6459999999999999
12	smackdev ptp start oh yeah	0.12
13	agree rioters destroy property injure citizens threaten lives need zero tolerance policy riots	0.688
14	bad slash prices send refugee camps like team gear lose championships	0.375
15	shaking	0.812
16	cover police shootings fairly well dont want miss chance bully	0.792
17	less sugar fruit less soda water less worry sleep less words action	0.27899999999999997
18	oh sorry divorce worry good wife no reference	0.319
19	old lady cray cray scared bellaissocute empire	0.5
20	editing father bride speech minutes tells wrap goes minutes	0.20800000000000002
21	data stolen tell us	0.7709999999999999
22	awe yay thank god worried	0.5
23	scariest american horror story gonna watch daytime	0.742
24	houses get instestines scare poop shit pants	0.7
25	late night thoughts feeling	0.5
26	terror threat level really need raised	0.812
27	problem yes something no	0.41700000000000004
28	great defender terrible positioning know without russel shouting mins	0.396
29	panic panic attack fear starting new medication	0.917
30	mustard gas hostile work environment not terrorism call osha not military	0.708
31	kind drive home work today dailyfeels	0.45799999999999996
32	♪old fish	0.07
33	rojo terrible defender	0.375
34	forced fake hug someone didn’t flinch get litigious past awful 😖👺🙅	0.792
35	horrible lewis dunk begun networking neo geo holiday home mexico	0.479
36	like quickie divorce awful	0.5
37	noooooo without maryberry awful endofanera going lost bought lameduck notallaboutthemoney	0.6
38	😂😂😂 know crazy shocking	0.521
39	crossword puzzle oat meals solitary respecting flat portentous nutrient rootstock scruple failur	0.375
40	nactually pretty typical trump supporters nthis kid learned birtherism school nthat horrific	0.583
41	give gas hate respect ur rudeness bully	0.479
42	dafron hands biggest loser planet typical bully lifer	0.43799999999999994
43	yes indeed know masses students would excited see need get sorted haunt	0.20800000000000002
44	anyone else bad experience poundstretcher nightmare firm	0.708
45	im crying katherine one whos like talking anxiety attack im gonna faint	0.8959999999999999
46	never anxious election life‼️	0.875
47	really want go fright night really	0.583
