	Tweet	Valence score
0	جمعني زماني فيك الناس وصارت حياتي وجودك معنا ماقلت لك قلبي حاس نبي نفترق والوقت ماراح يجمعا ضيقه حزن	0.5
1	يحتاج اعطيج انتي ساقطه شو رايج تنتحرين وبعدين قصتج تنرفز اللي سمعتها انتي خياناتج اكبر خيانه قطر	0.828
2	انتي كده مرتاحه يعني انا حاسه خطوره محلات الاكل اللي حواليكوا يارنا	0.177
3	فعل قطر غدر وخيانه ذكرنا بفعل صدام الاسود وغزوه للكويت الفرق قزم فلجا للطعن بالظهر والثاني طغي وتجبر فظن الظلم حق خيانه قطر	0.703
4	مبحبش التهديد حتي مصلحتي	0.516
5	بالنسبه انا فعلا تعبت مش عارفه اذاكر عارفه انام off😤	0.484
6	الخبره قتلوا مرتزقه تعز بالسلاح وانا قتلت مرتزقه التويتر غيظ يارب لك الحمد الانتصارات هه	0.469
7	ممكن زعلان حد بس واحشك اصل الغلاوه والحب ملهمش علاقه بالزعل	0.382
8	مخنوق معصب خليك بالبيت ماتطلع اتقول شكل للبيع يوصل الشجار الناس حاله شجار بعضها انتها بالموت	0.5760000000000001
9	هه الخوف والتوتر يسببه الاهلي	0.266
10	فيصل قاسم وقناه الجزيره سبب خراب سوريا ربنا ينتقم منكم	0.794
11	المود مش حلو خالصص😤	0.406
12	دكاتره الاسنان خلقه مرعبين فكيف كانو شديدين وعصبين احباط	0.516
13	حلقي راسي رجولي ركبتي فقدت الاحساس فيهم يعني اوكي مجربه بيت رعب بباريس وبدبي ومت خوف بس حقت تفوز وانا كنت مستهينه اهه	0.47
14	بس لازم نعلمه انتي طلعتي التاق مو كيفه ينسبه لجمهوره الجماهير شاركت😡	0.578
15	لان الشعوب الغنم تبع تحال خوفا بطش حكامهم	0.636
16	سعد الدين وش هالخبث 😮😮	0.47
17	مافي الامر اني غاضب اننا نظهر نقدم اساطيرنا بانفسناnغاضب انفسنا الغرب	0.7879999999999999
18	شفت بعيني حاله غليان حقيقي الشارع غضب شعبي كبير ايوه الخوف يسكن داخل الناس	0.594
19	الشوق يقتلنا ادني رحمه الحنين كافر تنهيده	0.32799999999999996
20	انفعالي يحكيني الشخص اللي يحبه قاعد يوجع قلبه مو طبيعي وكانه بكل مره الوجع بقلبي انا	0.469
21	hoda هه والمشكل لي عندو مظاهرات واحتجاجات واعتقالات بالجمله غليان شهر	0.455
22	الطبيعي ارتباك خوف لدرجه الهلع نبره صوت المعزبه بمثل هالموقف مفقود بهالمقطع	0.28800000000000003
23	الرسم ده كابوس بالنسبالي	0.409
24	لحد يلوم التصرفات الحاصله بدافع العصبيه لان معليه انتوا السبب ردات فعلنا	0.515
25	تصيبك الكابه والحزن لان تحبه مصاب	0.32799999999999996
26	حد يكتب العايزو وانا حقي اتذمر كمان الموضوع بسيط	0.16699999999999998
27	وجه عبوس	0.484
28	انا الكلام ظروفه ليش الناس البهائم تفهم اعوذ بالله 😡😡🔪	0.703
