	Tweet	Valence score
0	depressing shit ever	3
1	final vestiges childhood dashed shoals hearing house cover tracy chapman fast car dayjob	0
2	dreadful first half not mention rashford would got end couple balls pace	1
3	feel really sad today😒	3
4	wow watched seriously one depressing movies life	2
5	way cool die young way young die sober tunechi	2
6	happy birthday roy buchanan born day roybuchanan guitar blues happybrithday	0
7	ibiza blues hitting hard already wow	3
8	awareness time awareness time lost awareness time	0
9	no episode today whilst editing power outage rebuild tomorrow podcast lost editing fail tomorrow	0
10	great programme tonight upsetting extremeworld	0
11	days know heart beats depression	3
12	bare videos online anyone get rehabilitated anyone actually get help affliction jut get twitter videos	1
13	tell camp happy purely bojan muni nboth normally fab guys yet completely dejected something right	2
14	bill clinton not grow weary good cgi	0
15	dull uk	1
16	sober life	0
17	watched favorite youtubers months honestly made depression much worse	2
18	depress	3
19	sadness leaves broken bed hold depths despair name love	2
20	john magic box lost	0
21	impress depress	0
22	safe blues ok reds ok well obviously battleground states would not	0
23	grim	3
24	good hearts lost job responsible families information profile even dollar can’t tweet	3
25	cheap pout brodcast	1
26	wanna see smile wanna see make frown	0
27	liam distant makes mourn	2
28	airport depressing watching loved couples cute people coming holiday cute hurry november ✈️	2
29	trump presidency dark age usa world would definitely take us war short amp long term pain	2
30	endtrumpweek please depressing	2
31	srv voodoo child approximately times better jimi guitar music blues	0
32	bls depress blake	2
33	honestly upset rewarded nicole depressing paulwasrobbed rewardhardwork bitterjury bb	2
34	little bit extra money would blow whole paycheck go one two concerts la serious	0
35	even celebrate wins mourn cause first test week busy	3
36	let know blues	1
37	mmmm coffee good book dreary day beat	0
38	nah asked really insightful teacherly questions could write kickass report sadly never know	1
39	romero fucking dreadful like seriously month old better	2
40	“my friend fly away world abhors awaits somber morrow no matter winds may blow”	2
41	usa panicattacks anxiety depression much medication	3
42	🍂🎵☀ fall sounds great ndream blues rock nget top album one love hero	0
43	im kind confused one thing right great future hand new thing lost needhelp	2
44	could crooked stuck delusional dim amp dark hearted dud surprised losing amp prob also ppl let crimes drop nwo imo	2
45	somehow sausage pasta made sunk bottom eating sausage tiny bit leftover pasta	0
46	sadly war often factor jump starts us economic growth	1
47	thanks sober drivers real winners night clemvsgt	0
48	interesting topic evening sadness amp low mood mhchat	3
49	understand express emotions others may lead sadness loneliness amp neg impact long term mh mhchat	2
50	chronic sadness may mean underlying issues getting sad occassionally particular issue mhchat	2
51	thanks sharing surprise guests amp visiting us tenor sax livemusic capetown blues	0
52	inclined think documentary harm good not despair people critical faculties	2
53	know love sober sober selenagomez revival	1
54	one step forward two steps backward link rogerfederershop doesn´t work losing hope roger federer new website sadness	2
55	fun tidbit fall asleep someone dancing blues latenight	0
56	ricefodays alex butler class financial management starts great relevant class discussion movies sunk costs	0
57	cant stop finished dejected luckily no one bathroom go stall wait pants dry	2
58	think swallows swifts gone photo nights ago not seen since autumn	0
59	pine rider	0
60	please bear not twitter savvy😝 real life facebook person help gain followers blog selfhelp	0
