	Tweet	Valence score
0	shut hashtags cool offended	0.562
1	makes fucking irate jesus nobody calling ppl like hajime abusive stop strawmen lmao	0.75
2	lol adam bull fake outrage	0.41700000000000004
3	passed away early morning fast furious styled car crash leaving atl strip club rough stuff	0.354
4	lol wow gonna say really haha seen chris nah dont even snap anymore dude	0.43799999999999994
5	need 🍱sushi date🍙 🍝an olive guarded date🧀 👊🏼rockys date🍕	0.271
6	republicans namely graham flake sasse others not safe wrath hence hillary hiney kissing ad saw	0.354
7	nlike rabid dog pulled backs cupboards looking bakewell found french fancie amp mini batternburg winner	0.33299999999999996
8	telling racist bigots always resort insult fag like worse racist bigot	0.556
9	follow follow relentless success	0.125
10	dude new madden haha	0.231
11	come mum th tweets bitter soreloser	0.583
12	lol little things like make angry	0.604
13	one day tiff one day	0.20800000000000002
14	dean really saving lot ppl bc snap nomore amp take much	0.348
15	knew softballs could sting bad jimmy fallon lot heat amp ldquo softball amp rdquo donald trump interview	0.414
16	women like girls resent looking great wish still looked like washed	0.479
17	outrage party nominated lying corrupt person received donations nations support terror	0.7659999999999999
18	swear got anger issues heart big af	0.604
19	tierney reaches deep cross back post plays back across alloa defence clear celtic relentless	0.43799999999999994
20	joke fuming	0.688
21	love people make plans without actually including process rage	0.688
22	quick listen slow speak slow	0.121
23	like burning rap albums buy first gosh darn get rid	0.41700000000000004
24	haha actually doggies barracking anyone gws bitter	0.47200000000000003
25	yuuuhh 🙄😭 plus clin ep prevmed ugghhh hahaha bitter	0.521
26	wasp sting itchy	0.35600000000000004
27	grateful hungry people life hungry learn change grow help etc not sure anybody better	0.396
28	king insult intelligence black community people thinking	0.542
29	giroud beard making angry	0.625
30	honest hope annoying southern bint look pout goes week selasi ftw	0.6459999999999999
31	well not archie no offense kinda old	0.396
32	wow not heard forever random great xph	0.25
33	burns pick pitches get like 😢😢 sting	0.542
34	icq making mad icq angry	0.75
35	angry bash frustration pastry gbbo	0.53
36	straight people even arse straight guys think means threesome fine angry fuming	0.792
37	oh daaaaaaamn getitgirl girlpower anger rawr chicagopd	0.375
38	oh dear watch woman pout well	0.442
39	totally knew trump finally gets revenge son law prosecution imprisonment throws christie bus	0.45799999999999996
40	decorations jersey already outrage	0.562
41	going get city next round revenge	0.43799999999999994
42	case raging moody cow lol buy moody cow socks lol	0.389
43	no respect people force opinions others yet get offended someone	0.479
44	tip everyone stop offended end offended quit youredumb liveyourownlife	0.479
45	vanity sizes sizes xs evenxxs sometimes big wtf dear corporate jerks lithuania need rant angry	0.708
46	ultimately keithscott man hand arrest warrant know enough cause outrage	0.741
47	genuinely think anger issues	0.604
48	nick said territorial growl someone gets close hesananimal	0.45799999999999996
49	getting lost want see eyes hungary huffed crossed arms looking away angrily	0.562
50	fact sometimes get furious people wrong get furious fool	0.5
51	good luck fury haney players playing weekend future stars showcase frisco tx kgb town fury	0.396
52	forget mention bought dreamboys tickets 🙄😂 raging	0.45799999999999996
53	cigarette burning laura hand angle chin purse lips gorgeous transition	0.312
54	rangers celtic revenge	0.33299999999999996
55	scorpio withdraw quiet place hurt think plan sting back	0.583
56	haha actually doggies barracking anyone gws	0.41700000000000004
57	personally liked relentless …didn get ourhouse onejersey werealldevilsinside ndoes nothing till puck drops njdevils	0.354
58	see end nin bitter tragedy ni give spend nand give nothing back	0.542
59	tonight dragrace allstars episode gave life yaassss queens teamalaska teamkatya revenge bwahaha	0.2
60	complain time wonder people never want see acc rile stfuuu	0.708
61	everything see american police training seems calculated trample human dignity inflame outrage escalate confrontations	0.604
62	wanna kill destroy want died want flint back emo scene fuck die hatered	0.91
63	thanks saying wife getting iphones today losing no eta thanks	0.479
64	days later order even postcode	0.542
65	think monalisa respect anyone think ruffle feathers thejail	0.625
66	another loss city cup next 😂😂 cmon united	0.292
67	not shady one jongdae ex rumoured girlfriends going wgm not saying joyed joyed bitter	0.41700000000000004
68	unbelievable takes minutes get fault call hangs treatcustomersfairly	0.604
69	know punk mostly white men throwing tantrums	0.354
70	skipping meals national way showing disappointment wiz	0.354
71	stupid hate lol bitter	0.6459999999999999
72	bitter sums congrats nicole folks bb onto survivor	0.354
73	time man got paid throw temper tantrums speaks gotta listen	0.521
74	wonder would happen tell people truth savage uhoh angry	0.583
75	cheap pout brodcast	0.23199999999999998
