	Tweet	Valence score
0	yeah playing well	0.6
1	least guy trying discourage anymore want never become anything worth contributing society	0.484
2	uplift still discouraged means listening wrong voices amp looking wrong source look lord	0.563
3	age heyday blood tame shakespeareaninsults hamlet elizabethan williamshakespeare	0.45
4	embarrassed saw us like knvfkkjg thinks stalkers starts waving cheerfully inviting us	0.233
5	really planned making videos week tv died phone broke truck died depression took wondering karma	0.214
6	hate ideas afraid share	0.138
7	regular cheerfulness emotion supper give ladies soon entirely	0.648
8	pessimist sees difficulty every opportunity optimist sees opportunity every difficulty sir winston churchill	0.6409999999999999
9	hurting ndoesn mean hurt ndoesn mean get nwhat deserved nno better no worse lost	0.242
10	cancelled cbs access live feeds jc even said vic afp paul imo bitter	0.25
11	beautiful day	0.672
12	better second half team season	0.55
13	back forest drama nfrom forest music series nature dark art photography finland	0.5
14	much sadness heartbreak	0.16699999999999998
15	learned years one mind made diminishes fear –rosa parks quotes motivation	0.565
16	walk right see way past even hesitate running	0.536
17	looks cool animated well pixel art	0.75
18	social sharing dark amp web traffic comes darksocial liftsocial	0.703
19	communitysleepcoach look narcoleptic puppies make smile human amp find odd positions seek th…	0.733
20	future planned feel much happier goals life igotthis yay	0.852
21	hate going doctor many levels least go sleep smile watched dwight live nation	0.617
22	happy birthday lost lost dharmainitiative years september oceanic	0.599
23	people weak follow dreams always find way discourage	0.313
24	sadly beautiful photo	0.36200000000000004
25	peanut butter kinda pervert	0.379
26	baskets better bad mood someone irritate practice please	0.313
27	remember life blessing god make joyful experience regardless odds gby	0.672
28	fucked coupon goal	0.406
29	always depressing sort wordpress plugin recommendations not best least offensive terms premium features	0.138
30	it’s gleeful they’re inspired convinced they’re winning last strongman	0.609
31	catering channel height technics hearty enjoyment symptomatize vrlfeyrn	0.6829999999999999
32	best revenge get good woman move leave hairline figure alone	0.516
33	forth character no not gleeful enough	0.391
34	view human dynamic expression cosmos exist within humanism awe	0.597
35	yesyesyes like jd closest cahracter similar blaine optimism ability crack tough characters	0.6829999999999999
36	yeah figured ornaments way wanted spektar desolate gear well thought right	0.531
37	hey nascar fans going race loudon weekend not stop new day diner great hearty breakfast go	0.6940000000000001
38	love new show	0.638
39	oh almost odd cheerfulness big boss offers muzzle flash blinding accidental guy became best friend	0.5479999999999999
40	easy breezy beautiful	0.742
41	countryside day pleasing	0.79
42	asshole made sexually attacked animated bear	0.33299999999999996
43	pretty awful look historically	0.233
44	sparkling looks like gay vampire	0.677
45	aquila ajahnae euriechsa common besides ridiculously stupid horrible ugly god awful names tracey not father	0.27399999999999997
46	aww thank definitely feeling much better today messages cheer ☺️	0.7759999999999999
47	shawty lo beef one underrated ones hip hop history chock full wit bravado hilarity	0.613
48	well sparkling	0.638
49	ball watching amp rojo header equally dreadful	0.28600000000000003
50	every minute angry lose sixty seconds happiness ralph waldo emerson quote	0.629
51	charlotteprotest wait facts video hate ask questions later protest policeshootings suggestions	0.435
52	please bear not twitter savvy😝 real life facebook person help gain followers blog selfhelp	0.517
53	go	0.371
54	found marmite australia happy	0.968
55	misery loves company church ought place finds none pastor kris theobald joy rejoice	0.7
56	blow mind much blew mine sexually harass someone whoa mindblown huh setback fright madashell	0.7170000000000001
57	bad temperament hissyfits	0.32799999999999996
58	looking like heyday	0.517
59	going away want see hurt changing hearts minds really option no	0.375
60	laundry watching show bunch strangers birthday	0.5579999999999999
61	breezy breezy breezy breezy buzzinnnnnn	0.645
62	never make decision angry gt lt never make promis happy	0.467
63	made cry shake point parents calm give calming tablets	0.21
64	delight lane tonight witness debuts young talent could backbone club coys	0.871
65	never find exact emoji exact moment need panic	0.267
66	ah got work much rejoicing lol thanks get taht	0.845
67	wakes says tried changing nappy 😡👊🏼	0.3
68	praying lord keep anger hate jealousy away heart sign maturity conciseness	0.419
69	never let see frown	0.40299999999999997
70	ux online appalling no clear save button not able use generic tld unhappy	0.156
71	hearty italian man	0.483
72	not word terrorism	0.45799999999999996
73	no foreign policy goofy secretary state john kerry devil may care pose jaunty blue scarf	0.462
74	long day thank goodness bake brighten weary wednesday gbbo	0.581
75	wake dream laughing something stupid makes laugh hilarious	0.871
76	hope instinct reasoning human mind could kill animal never knew despair	0.41700000000000004
77	king insult intelligence black community people thinking	0.207
78	first time watching vids died laughter keep dude	0.7929999999999999
79	okay trans rejoice trans trans way way not business care	0.518
80	omg actually thought going jump southpark southpark	0.312
81	glad see fun sun water sports always fun challenging exhilarating happiness beauty	0.903
82	whole vanre extradition might turn pandora box jt no idea murky corrupt guanxi china toad vs dada	0.379
83	body sleepy mind active sad get ready work minutes damn restless	0.156
84	lord god midst—a warrior bringing victory create calm love rejoice singing	0.65
85	personaldevelopment ntoday gift called present happiness optimism entrepreneur personaldevelopment	0.855
86	nice idea collect relevant socialmedia one dont automatic pls worldsapp ⬅️ chirp appsworld socialmedia merci🎈	0.607
87	never find exact emoji exact moment need nuclear missiles indianarmy	0.375
88	brendan rodgers looks fuming	0.304
89	cn seems like appreciate good reviews no apologies concern years ago	0.32299999999999995
90	friend messaged ugh hungry wait breakfast socialmedia winewednesday hilarious funny laughing happy	0.871
91	always ready smile	0.7240000000000001
92	time man got paid throw temper tantrums speaks gotta listen	0.371
93	irritation not found corpse	0.2
94	like said plenty cheddar cheese go around everyone smile	0.75
95	mad brother sad feel better bub	0.278
96	sad always optimism new year not good	0.31
97	one thing say kept smiling	0.871
98	meant	0.5329999999999999
99	lion heart nwill protect stormy skies nand always listening laughter tears	0.645
100	lets get astros game going already going need attendance cheer victory	0.583
101	well exhilarating know could goosebumps hrs straight	0.7170000000000001
102	bet pawpaw good time rejoicing heaven first birthday	0.603
103	vincent looking super lively boy hattrick perhaps lol	0.7
104	health think depression feel like	0.364
105	happened suicide tweet joke obviously could offend anyone	0.42200000000000004
106	hate little girls 😡😡 got lot growing fuming	0.179
107	working feature right preponderance awful owners war fans many choose	0.373
108	take little make child life joyful work hard make lives hell peace	0.516
109	omg outside making beats garageband little birds decided chirp along （≧∇≦）	0.583
110	sadly best days behind	0.23399999999999999
111	offering moth warranty pspro shocking truth ripoff	0.317
112	ok seems still hope bsnl nnow bb speed ok nbut thank elate much lest gone like 😐🙂	0.5379999999999999
113	chirp chirp beautiful white red bird	0.638
114	thought fun not fun bright side fight parking	0.44799999999999995
115	weeks still go depression smh	0.111
116	huh sprint coach slowest team comp talk robbing living outrage	0.1
117	wish really truly wish modicum banter	0.589
118	use smile change world let world change smile quote actorslife smile love hardworkpaysoff fun	0.85
119	one point dsp claims yters lost half viewership using direct capture search changes happened	0.478
120	obama describes temperament steady amp buoyant side	0.33299999999999996
121	joyous occasion laughing ostentatious display disrespect bruce scoffed entire scene batman’s	0.574
122	current run superman continues delight feel love poured everone creative team superman	0.8
123	come fundraiser fri pm pie face	0.6409999999999999
124	noah ark terrific design	0.581
125	cheery ghost	0.677
126	know sparkling letters super mario galaxy spell mr gay	0.5670000000000001
127	red heads fiery	0.5
128	solid starts bozzelli benevans hoping good start	0.733
129	relive vegas heyday rat pack tribute	0.531
130	buzzing pathetically sympathy let twirl moustache chuckle sting psychowasp	0.452
131	job interview afternoon ek	0.569
132	today answered call college rep realize got hear part lively debate evolution real	0.467
133	got new pens break name animated series draw style	0.672
134	spend shimmy drinks raging know gonna happen	0.267
135	terribledebatequestions given many laughs afternoon thanks twitter cleverpeople	0.823
136	rejoicing finally match draw revealed facing city next life sef	0.41100000000000003
137	thought got mad anything bf gets mad little thing lmfao shit hilarious	0.617
138	seriously hope chances celtic missing going come back haunt alloa sucker punch	0.387
139	cant live anymore roblox got termianted sad killme lol robloxgamer	0.11699999999999999
140	connie came back hey seem bit lively	0.55
141	dream trying steal kidney blackmarket whydidiwatchthat	0.33299999999999996
142	obama admin rejects texas plan refugees vetted terrorism texas pulls fed refugee resettlement program aiding	0.355
143	joined pottermore sorted hufflepuff 😡😡😡	0.25
144	impractical jokers practically genius laughter goodthesoul impracticaljokers bingewatching	0.732
145	nana hoco bc dream since freshman year awe 😙❤❤❤	0.732
146	chirp	0.569
147	ghost stefano reflects grim indignity murdered corrupt cops faux love days	0.452
148	like right way pray right way give not grudgingly necessity cheerfully woficc	0.591
149	guy across really ugly suit cannot stop expressing displeasure	0.21
150	breezy	0.672
151	turns even anything concerned im happy bit frustrated took long get answer	0.484
152	bojack horseman saddest show ever written depression season	0.214
153	dehydrated exhausted stressed still blessed	0.586
154	want highlight bright ever get lost someone looking dark find	0.435
155	appreciate amp enjoy life nuse smile help others use ☺️	0.742
156	metro lrt went walterdale yeg	0.629
157	love hilarious looking forward much kudos pilot speechless	0.893
158	former diplomat quite gleeful situation pakistan nnot quite stiff upper lip diplomacy seen normally	0.33899999999999997
159	sigh got depressing	0.065
160	trust dear want make anything invisible hang wet paint hilarity ensue	0.623
161	asked one thing guys tonight got happy proud disappointed football timetoclimbthetable	0.607
162	give cheerfully accept gratefully everyone blessed »maya angelou	0.726
163	prof suggest william james may unlikely dialogue partners plays happy video wearecst	0.61
164	strong independant practical stop living world fantasy snap faster get used reality better	0.5
165	beats accurately powerful respect high quality high frequency speaker extra desolate relating fire ea	0.603
166	pretty sure golden ticket get tour make mistake something horrific happen good day sir	0.581
167	ha right san jose ca offended right dave go walk something next time	0.276
168	sweet optimism	0.63
169	repeal remove johnson amendment direct affront first amendment constitution	0.414
170	threaten kill kapernick kneeling say every athlete stop playing social justice equality comes forth	0.375
171	love jordy revenge ⚽️	0.519
172	mind tag along asked cheerfully sweeping lock hair behind ear want see really got	0.583
173	everyone hates twice kinda got bops bumping rn cheer	0.435
174	watched django unchained people may frown titter delight	0.633
175	want let everyone know wonderful people beyourself late night compliment behappy	0.855
176	bc gloomy day tony	0.21899999999999997
177	adorable cheerful daughter nalways pouring positivity green goo ndare hurt see hell growls pandabot	0.638
