	Tweet	Valence score
0	fah اضحكي اضحكي اضحكي شي يروح العوار اسالي مجرب	1
1	ابي مخلد الجنه لعله مسرورا بلقي الرحمن	1
2	افتح خزائن ذكرياتك شوف الصور هتلاقي قلبك يرتعش حب وشجن	1
3	معهد الفتياتnشكرا تعبنا امسكت بنا وقوتنا nجزاها رب خير تقدم لاسعادنا ❤️nكتب بحب امل محمد الفراجn alfarraj	1
4	ايش حماسي دا الفيلم😍❤❤	2
5	اهداء المحب العنيد للمبدعه والمتالقه حنين بمناسبهوصولها ☽k☾ مبروك شاهدين لكي بالخير طيروها	2
6	سنه وانتي بخير ياقلبي وكل سنه وانتي سعيده يارب ❤️	2
7	وقت يجي الفرح افرح حتي لحظه لانك بتعرف امتي يدق الحزن بابك اصبحنا واصبح الملك لله	2
8	ربنا حيحملك طاقتك اطمني لانو ربنا عارف ايش قلبك الله يهونها عليكي ويعوضك بالفرح القريب❤️❤️❤️❤️	1
9	وانت ماشي مصر عارف فرحانه بيك	2
10	هابي بيرثداي سنه سعيده يارب وكل ايامك حلوه مثلك ❤️	3
11	يارب هالفجر جايب معاه خير وسعاده وتوفيق يارب اختبار اجمل نتوقع استودعنا شي عندك وانت خير حفيظ 💌🎈	2
12	انا طيرت الطياره كنت فرحان فشخ	3
13	شبابه حلو والله ومجنون ودمه خفيف احب مسلسلاته القديمه	2
14	وين كنتي تحول فجاه لل الهيبه صاير فيو عنصر التشويق وين كنتي	0
15	البرشلوني يشجع اليوفي يعني متعاطف بوفون ساتر حقده الريال بادعاء حب بوفون صايدينك يالفلم	0
16	تخاف العمر يمضي وخلك طروب كبرنا يرجعنا حنين الصبا نبقي سوي رغم اختلاف الدروب شاءٓ شاء ياخلي وابيٓ ابي	1
17	خطيئتي وصوابي انني احبتك نفسي شوق حب	1
18	حائل حكم تفاؤل سعاده راحه كونوا دائما متفائلين ربنا عزوجل حسن ظن عبده	2
19	عايز اقول لحضرتكم اني اكتشفت اظرف مسلسل كوميدي رمضان nالجزيره الاخباريهnضحك مستمرnSayonaraQatar	1
20	كميه احساس وطرب زي السياره تعبيها فل	2
21	الفل حديثك ازهار الفل مررت مشتل وسالته رؤيتها زاد حنيني لك وروحي تغير حالها وصار الصمت يغلب	1
22	مبسوط وفخور انا الليله شفت نفسي التلفزيون قفلتو	3
23	فرحه امبارح وفرحه النهارده 👏❤nوالله بنسي تعب الامتحانات والمذاكره والارف nبمجرد بتفرج الاهلي والريال	3
24	الاماني الصادقه والمحبه الخالصه لكم ولمن تحبون وانتم بالف خير فطر سعيد	2
25	ودي ادق واقول وين انتnودي احاكيك سوالف جديده nnلكن تذكرت هالبعد هونت nيمكن بعدي حياته سعيده	1
26	الفرح قناعه داخليه ودك تفرح تفرح وتكون سعيد والعكس صحيح	2
27	عيد سعيد يااجمل اعيادي ☺❤	2
28	عيدك مبارك والسعد فالك وتبقي راس مال ياصاحب ماتكمل الاعياد لين اعايده	2
29	انا ابي حزين واخليه سعيد lt ياخي احنا البنات حتي الحب نبي دراما ودموع	0
30	بما النهارده اخر ماده وحليت كويس وفرحانه وكدا فانا محتاجه حد يكمل فرحتي وياخدني يعزمني الفطار 💃👏	3
