	Tweet	Valence score
0	shut hashtags cool offended	2
1	makes fucking irate jesus nobody calling ppl like hajime abusive stop strawmen lmao	3
2	lol adam bull fake outrage	1
3	passed away early morning fast furious styled car crash leaving atl strip club rough stuff	0
4	lol wow gonna say really haha seen chris nah dont even snap anymore dude	1
5	need 🍱sushi date🍙 🍝an olive guarded date🧀 👊🏼rockys date🍕	0
6	republicans namely graham flake sasse others not safe wrath hence hillary hiney kissing ad saw	0
7	nlike rabid dog pulled backs cupboards looking bakewell found french fancie amp mini batternburg winner	0
8	telling racist bigots always resort insult fag like worse racist bigot	2
9	follow follow relentless success	0
10	dude new madden haha	0
11	come mum th tweets bitter soreloser	2
12	lol little things like make angry	2
13	one day tiff one day	0
14	dean really saving lot ppl bc snap nomore amp take much	0
15	knew softballs could sting bad jimmy fallon lot heat amp ldquo softball amp rdquo donald trump interview	1
16	women like girls resent looking great wish still looked like washed	2
17	outrage party nominated lying corrupt person received donations nations support terror	3
18	swear got anger issues heart big af	2
19	tierney reaches deep cross back post plays back across alloa defence clear celtic relentless	1
20	joke fuming	3
21	love people make plans without actually including process rage	3
22	quick listen slow speak slow	0
23	like burning rap albums buy first gosh darn get rid	1
24	haha actually doggies barracking anyone gws bitter	2
25	yuuhh 🙄😭 plus clin ep prevmed ugghh hahaha bitter	2
26	wasp sting itchy	0
27	grateful hungry people life hungry learn change grow help etc not sure anybody better	1
28	king insult intelligence black community people thinking	2
29	giroud beard making angry	3
30	honest hope annoying southern bint look pout goes week selasi ftw	3
31	well not archie no offense kinda old	1
32	wow not heard forever random great xph	0
33	burns pick pitches get like 😢😢 sting	2
34	icq making mad icq angry	3
35	angry bash frustration pastry gbbo	2
36	straight people even arse straight guys think means threesome fine angry fuming	3
37	oh daamn getitgirl girlpower anger rawr chicagopd	0
38	oh dear watch woman pout well	1
39	totally knew trump finally gets revenge son law prosecution imprisonment throws christie bus	1
40	decorations jersey already outrage	2
41	going get city next round revenge	1
42	case raging moody cow lol buy moody cow socks lol	0
43	no respect people force opinions others yet get offended someone	2
44	tip everyone stop offended end offended quit youredumb liveyourownlife	2
45	vanity sizes sizes xs evenxxs sometimes big wtf dear corporate jerks lithuania need rant angry	3
46	ultimately keithscott man hand arrest warrant know enough cause outrage	3
47	genuinely think anger issues	2
