[English Term]	[Arabic Translation]	[Sentiment Score]	[Positive Occurrence Count]	[Negative Occurrence Count]
#fabulous	#رائع	7.526	2301	2
#excellent	#ممتاز	7.247	2612	3
#superb	#رائع	7.199	1660	2
#perfection	#كمال	7.099	3004	4
#terrific	#رائع	6.922	629	1
#magnificent	#مهيب	6.672	490	1
#sensational	#مثير	6.529	849	2
#heavenly	#سماوي	6.484	2841	7
#ideal	#المثالي	6.461	3172	8
#partytime	#وقت_الاحتفال	6.111	559	2
#excellence	#امتياز	5.875	1325	6
#wonderful	#رائع	5.727	3428	18
elegant	أنيق	5.665	537	3
#perfect	#مثالي	5.572	3749	23
#fine	#غرامة	5.423	2389	17
excellence	امتياز	5.416	279	2
#realestate	#العقارات	5.214	114	1
bicycles	الدراجات الهوائية	5.205	113	1
#inspiration	#إلهام	5.187	111	1
#beauty	#الجمال	5.148	1601	15
#beautiful	#جميل	5.116	1757	17
#amazing	#مدهش	5.096	4761	47
#nice	#لطيف	5.035	1620	17
acai	أكي	5	6	0
#motivate	#تحفيز	5	18	0
#delightful	#لذيذ	5	22	0
#waffles	#الفطائر	5	5	0
#respectful	#الاحترام	5	8	0
#ecstatic	#شاطح	5	7	0
ensuring	ضمان	5	5	0
#suave	#لطيف	5	11	0
spanner	مفتاح البراغي	5	5	0
attain	تحقيق	5	7	0
#optimism	#التفاؤل	5	16	0
#cinderella	#سندريلا	5	5	0
#elliegoulding	#إيلي_غولدنغ	5	5	0
divo	ديفو	5	5	0
guac	جاك	5	9	0
prosthetic	ذو عضو صناعي	5	7	0
#flawless	#بلا_عيب	5	51	0
#cannes	#كان	5	9	0
#dordogne	#دوردوني	5	6	0
#phenomenal	#استثنائي	5	19	0
chutney	الصلصة	5	7	0
#layin	#يكمن_في	5	5	0
mahatma	المهاتما	5	10	0
#meeting	#لقاء	5	5	0
grange	مزرعة	5	5	0
#sunset	#غروب	5	9	0
#stellar	#ممتاز	5	5	0
#mmmmm	#سيربح_المليون	5	10	0
#handsome	#وسيم	5	29	0
lounger	متسكع	5	9	0
honeycomb	انخرب	5	7	0
inshallah	إن شاء الله	5	6	0
#stronger	#أقوى	5	5	0
#shimmering	#متلألئ	5	18	0
#affirmation	#تأكيد	5	9	0
glide	زحلقة	5	5	0
#innovation	#ابتكار	5	25	0
#europe	#أوروبا	5	8	0
sigur	سيغور	5	8	0
#amaze	#تدهش	5	5	0
#honor	#شرف	5	10	0
#persistence	#إصرار	5	9	0
#crisp	#هش	5	5	0
godbless	الله يبارك	5	6	0
#refreshing	#منعش	5	11	0
#smashing	#تحطيم	5	22	0
#jammin	#جامين	5	7	0
mastering	اتقان	5	7	0
marquette	ماركويت	5	5	0
somerhalder	سومرهالدر	5	7	0
melodic	لحني	5	5	0
#entourage	#حاشية	5	5	0
#inspire	#ألهم	5	20	0
#designer	#مصمم	5	5	0
talkative	ثرثار	5	7	0
